,ID,Sentence,Aspects,Aspect_Polarities,Opinions,Opinion_Polarities
1791,753,Took several hours with customer support before I could even start the PC out of the box.,customer support,negative,NIL,NIL
1792,411,Asus facial recognition doesn't work and windows logon isn't either.,facial recognition;windows logon,negative;negative,work,+1
1793,988,Windows Vista makes this computer almost unusable for online service.,Windows Vista;online service,negative;negative,unusable,-1
1794,1071,"I contacted Acer and they are giving me FREE recovery DVDs, so don't go and pay for them, just ask for them and they should give them to you.",recovery DVDs,positive,free,+1
1795,2830,Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,webcam;keyboard;carry,neutral;neutral;positive,easy,+1
1796,2701,Can listen to my music and watch my videos with ease and with a great display.,display,positive,ease;great,+1;+1
1797,2968,"Otherwise, all other features are a 1",features,neutral,NIL,NIL
1798,1931,"So in late March, early April 2009 I was without it again for a couple weeks while I had online courses I had to complete and my fiance was in Afghanistan and web conferencing was the best communication method we had.",NIL,NIL,best,+1
1799,1723,The performance is awesome.,performance,positive,awesome,+1
1800,1704,I pondered very long over this decision.,NIL,NIL,NIL,NIL
1801,1091,This thing sucks!,NIL,NIL,sucks,-1
1802,2942,I Love my new computer!,NIL,NIL,love,+1
1803,702,"Okay, let's just start out by saying I am in no way a computer techy.",NIL,NIL,NIL,NIL
1804,483,It was a Waste of money from day one!,NIL,NIL,NIL,NIL
1805,2198,I'm new - just switched from years of PC frustration.,NIL,NIL,NIL,NIL
1806,1957,So I got another netbook which I love!,NIL,NIL,love,+1
1807,2118,But in fact it is totally the opposite.,NIL,NIL,NIL,NIL
1808,286,The display is beyond horrible.,display,negative,horrible,-1
1809,513,"He LEFT ME, instructions on what to do when this comes up, or that comes up......",NIL,NIL,NIL,NIL
1810,3029,It's a joke.,NIL,NIL,NIL,NIL
1811,1411,There is hardly any memory on the computer's hard drive.,memory;hard drive,negative;negative,hardly,-1
1812,1956,"Actually, I had noticed the one on the sales floor also didn't have sound!",sound,negative,NIL,NIL
1813,1918,I started hainv problems with it within the first month.,NIL,NIL,problems,-1
1814,1469,"Next, most Acer laptop fans are on the bottom which is right on your laptop.",fans,neutral,NIL,NIL
1815,2833,the laptop preformed pretty well.,preformed,positive,well,+1
1816,118,"I'm honestly afraid that it will burn me, it's that hot!",NIL,NIL,hot,-1
1817,2325,But I don't see it as a problem.,NIL,NIL,problem,-1
1818,754,Numerous problems over the next 3 weeks until I got the blue screen of death and had to send the PC back to HP.,NIL,NIL,problems,-1
1819,3050,I think this will happen to any new version of computer/phone released and I need to wait for the next set of updates to have all of this fixed.,NIL,NIL,NIL,NIL
1820,3015,This one has had the same effect.,NIL,NIL,NIL,NIL
1821,2829,And if you are a game player it works with World Of Warcraft wonderfully.,NIL,NIL,wonderfully,+1
1822,674,This computer is absolutely AMAZING!!!,NIL,NIL,amazing,+1
1823,1217,So buyer beware when buying Toshiba,NIL,NIL,NIL,NIL
1824,933,  I found this laptop on sale for under 6000 at Best Buy which was a great deal!,NIL,NIL,great,+1
1825,298,I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.,system,neutral,worrying;quitting;freezing,-1;-1;-1
1826,442,I love the Apple products.,NIL,NIL,love,+1
1827,1447,I loved the netbook (minus the fact that it was windows OS) until this started happening.,windows OS,negative,loved,+1
1828,1810,"The minute you fire it up it's all good, very easy user interface.",user interface,positive,good;easy,+1;+1
1829,2191,"I have had two Toshiba satellite computers and while they are okay, they are in no way comparable to the Mac.",NIL,NIL,okay;comparable,+1;+1
1830,1419,I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.,warrenty,negative,expired,-1
1831,1250,"They're absolutely useless, unless you count the joy of releasing anger while smashing into little peices against the wall.",NIL,NIL,useless,-1
1832,2832,was a great deal i will give that.,NIL,NIL,great,+1
1833,1660,"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",iDVD;program;program,positive;positive;positive,dedicated;perfect,+1;+1
1834,1848,"  His language was so bad I swore I was taking the turing test, and it was failing.",NIL,NIL,bad;failing,-1;-1
1835,459,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,hard drive;battery,neutral;negative,stopped working;frustrating,-1;-1
1836,1144,  Was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba?  Probably not ever again.,NIL,NIL,worth,+1
1837,2513,I have used PC's and converting to this MacBook Pro was easy.,NIL,NIL,easy,+1
1838,2884,"I love the easy to see screen, and It works well for work, persoal or just play.",screen;works,positive;positive,love;easy;well,+1;+1;+1
1839,2082,"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",word processing;surfing,neutral;neutral,NIL,NIL
1840,629,"-Apparently, contactus@euro.apple.com is not a good address to send complaints.",NIL,NIL,good,+1
1841,2847,"It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important.",NIL,NIL,NIL,NIL
1842,1391,the mouse pad and buttons are the worst i've ever seen.,mouse pad;buttons,negative;negative,worst,-1
1843,56,I am sorry that I purchased this laptop.,NIL,NIL,NIL,NIL
1844,2257,Awesome graphics!,graphics,positive,awesome,+1
1845,2617,It really is perfect for work and play.,play;work,positive;positive,perfect,+1
1846,2653,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",Intel i processors;edge;edges,negative;negative;negative,great;comfortable,+1;+1
1847,1763,I am a college student and it has been very useful.,NIL,NIL,useful,+1
1848,1760,The apple MacBook is the best investment that I have ever made.,NIL,NIL,best,+1
1849,1275,My sister is the electronics manager at Wal Mart and she says that HP is the best.,NIL,NIL,best,+1
1850,2674,One drawback I noticed was sound quality via USB.,sound quality via USB,negative,drawback,-1
1851,519,"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.",battery life;warranty;extended life battery,negative;negative;conflict,NIL,NIL
1852,57,"I needed a new computer for graduate school (had never owned a laptop before), and the only reason I didn't purchase a Mac was because my school's website strongly recommended students purchase PCs.",NIL,NIL,recommended,+1
1853,1534,"I have had another Mac, but it got slow due to an older operating system.",operating system,negative,slow;older,-1;-1
1854,2514,If you have the money I suggest going for the i7.,NIL,NIL,suggest,+1
1855,105,"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.",Windows XP drivers;sound card;Windows 7,negative;negative;positive,NIL,NIL
1856,3065,"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.",features;budget,positive;positive,nice,+1
1857,2520,"It is, however, very heavy.",NIL,NIL,heavy,-1
1858,2057,"Was disappointed to find out that the model had been discontinued, apparently because of known motherboard problems.",motherboard,negative,disappointed;discontinued;problems,-1;-1;-1
1859,251,"Well, I started using Google Chrome, which is a little better, but it freezes too sometimes.",Google Chrome,conflict,better;freezes,+1;-1
1860,2073,"Also the speakers are not very loud, But it is a netbook.",speakers,negative,loud,+1
1861,2890,LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!,PRICE,positive,love;wonderful,+1;+1
1862,180,"But, at the same time they (the company) would not and could not do anything about my problem.",NIL,NIL,NIL,NIL
1863,508,Just a black screen!,screen,negative,NIL,NIL
1864,320,All you have to do is turn it on and it works.,NIL,NIL,NIL,NIL
1865,2352,A key contributor that led me to Mac is the art aspect.,art aspect,positive,contributor,+1
1866,1923,"Eventually my battery wouldn't charge, so unless I had it plugged in it wouldn't even power on.",battery,negative,NIL,NIL
1867,1279,Recently there are a few incidents that annoy the hell out of me.,NIL,NIL,NIL,NIL
1868,2921,Save your money and go for a better device.,NIL,NIL,NIL,NIL
1869,1705,"I have been a PC user since middle school, but in my mid twenties I decided to convert to the dark side, or should I say the brighter side of life.",NIL,NIL,NIL,NIL
1870,2631,"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.",surfing,positive,NIL,NIL
1871,2903,without having to have extra equipment and/or complicated routes to take to be able to do so.,NIL,NIL,NIL,NIL
1872,2851,My first problem was with the pre-loaded Norton Firewall/Security program.,pre-loaded Norton Firewall/Security program,negative,problem,-1
1873,2741,"I had a USB connect but, i can't use it because it is not compatible.",USB connect,negative,compatible,+1
1874,398,"Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed.",hard drive,negative,NIL,NIL
1875,1750,I ordered four D620 laptops.,NIL,NIL,NIL,NIL
1876,329,"I know that everyone thinks Macs are overpriced and overrated, but once you get past the initial expense you'll find that they're worth every penny (besides, there's always the financing plan that Best Buy offers).",expense,negative,overpriced;overrated;worth,-1;-1;+1
1877,587,"I saw this one, and I have the most difficult time trying to use them, they've made great dust collectors, I hate putting this computer down",NIL,NIL,difficult;great;hate,-1;+1;-1
1878,2069,"I am not going to sit here and complain about it not having a cd drive and what not because it is a netbook, it is made to be compact and if you want all the other stuff get a laptop.",cd drive,conflict,compact,+1
1879,2081,I love the multi-touch trackpad.,multi-touch trackpad,positive,love,+1
1880,2040,I was psyched.,NIL,NIL,NIL,NIL
1881,553,I absolutely love my mac!,NIL,NIL,love,+1
1882,2546,From the second you open the box you will fall in love with this computer!,NIL,NIL,love,+1
1883,406,HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.,extended warranties;cost,negative;negative,more,-1
1884,2852,It would not let me connect to my Wifi system where I lived.,NIL,NIL,NIL,NIL
1885,14,"Not too much ""junk"" software to remove.",software,positive,junk,-1
1886,1076,System is loosing about 20% of performance because of that.,performance;System,negative;negative,loosing,-1
1887,2395,"It is easy to use, good quality and good price.",quality;price;use,positive;positive;positive,easy;good,+1;+1
1888,1562,"The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!",Apple keyboard;PC's keyboard,neutral;neutral,worth,+1
1889,2425,It is also extremely pleasing to the eyes without looking too much like an Alienware gaming machine.,NIL,NIL,pleasing,+1
1890,2786,The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.,extended warranty,neutral,NIL,NIL
1891,2724,"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",RAM,neutral,issue;slow,-1;-1
1892,385,It is easily portable and I take it everywhere I go and might require internet access.,NIL,NIL,easily portable,+1
1893,2079,"If I have a few hundred dollars to spare, I'd buy the Pro line though, the 2.53 and 2.66 GHz model.",NIL,NIL,NIL,NIL
1894,854,"The hard drive crashed as well, and I had to buy a new  power cord.",hard drive;power cord,negative;negative,crashed,-1
1895,2116,"But enough about that, I am an Apple convert for life.",NIL,NIL,NIL,NIL
1896,390,I love it and will probably get another one when this goes to the Laptop in the sky!!,NIL,NIL,love,+1
1897,2405,"But, Mac makes the switch from PC to Mac easy.",NIL,NIL,easy,+1
1898,253,Another issue I have with it is the battery.,battery,negative,issue,-1
1899,1700,"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.",NIL,NIL,NIL,NIL
1900,1278,Now I know!,NIL,NIL,NIL,NIL
1901,881,"After 2 months of complaints, Asus finally sent the right power supply to my techies.",power supply;techies,neutral;neutral,right,+1
1902,1188,"Even set at the highest level, the computer sacrifices its  queen every time.",NIL,NIL,NIL,NIL
1903,486,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",Sony Sonic Stage software;speakers;subwoofer;extended life battery;Docking port;bluetooth mouse;bluetooth enabled,neutral;positive;positive;neutral;neutral;neutral;negative,worth,+1
1904,1487,"My MacBook Pro works like a dream, it has never overheated, or even been slightly warm for that matter.",works,positive,overheated;warm,-1;-1
1905,2508,PC users use the Powerpoint program for slide-show presentation and Mac users utilize Keynote.,Keynote;Powerpoint program,neutral;neutral,NIL,NIL
1906,864,I can't begin to say how disappointed I am.,NIL,NIL,disappointed,-1
1907,2571,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size;size,positive;positive,compliments;perfect,+1;+1
1908,1435,"It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works.",browser,neutral,NIL,NIL
1909,2748,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",carry,positive,easy,+1
1910,350,also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,keyboard;keyboard,negative;negative,bad,-1
1911,303,"Take the simple, easy solution to your computer problems and stop waiting and smacking your old computer around.",NIL,NIL,simple;easy,+1;+1
1912,1306,It is as good as new.,NIL,NIL,good;new,+1;+1
1913,489,"And it didn't show up on the reciept, I don't know how we ordered it online!",NIL,NIL,NIL,NIL
1914,2162,"I went from BestBuy to Dell, Windows to Apple.",NIL,NIL,NIL,NIL
1915,481,Back then my entire family was Devoted to the Sony name.,NIL,NIL,NIL,NIL
1916,1925,"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.",programs;drivers,negative;negative,okay;issues;failing;locking up;freezing,+1;-1;-1;-1;-1
1917,2749,Love that it doesn't take up space like a regular computer.,space,positive,love,+1
1918,623,*3 weeks after giving the computer for repair*-Visited MacHouse Amsterdam.,NIL,NIL,NIL,NIL
1919,1167,"They don't seem to be susceptible to viruses, which is one less big thing to worry about when it comes to computers.",NIL,NIL,susceptible;worry,-1;-1
1920,1897,  I was very excited because this was my first personal computer and I was purchasing it with my OWN money I had recieved from graduation presents.,NIL,NIL,NIL,NIL
1921,769,Asked the customer service rep.,customer service rep,neutral,NIL,NIL
1922,3046,"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.",genius bar staff);fan;boot up,negative;neutral;neutral,fixed,+1
1923,2190,I cannot even imaging going back to a PC after using this wonderful computer.,NIL,NIL,wonderful,+1
1924,2685,Basic computer.,NIL,NIL,NIL,NIL
1925,1971,I fell in love with the hp pavillion and that was my replacement and now I could not imagine going back to an acer at all.,NIL,NIL,love,+1
1926,726,It turns out that this hp pc had been preciously sold by Wal Mart.,NIL,NIL,NIL,NIL
1927,289,I would totally recommend any other laptop over this pile of grabage.,NIL,NIL,recommend,+1
1928,1855,  I managed to comply with these too and now have to wait and see if they can find another way to screw me.,NIL,NIL,NIL,NIL
1929,2803,I should have bought one a long time ago.,NIL,NIL,NIL,NIL
1930,2017,I looked at the computer and it said updating but the asked for a product key.,NIL,NIL,NIL,NIL
1931,1133,I got what I paid for.,NIL,NIL,NIL,NIL
1932,1596,"Just keep in mind the graphics is not dedicated so loading the movie almost took a minute, but it ran fairly smooth for a non-dedicated graphics card.",graphics;non-dedicated graphics card,conflict;conflict,dedicated;smooth,+1;+1
1933,2736,"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.",Mouse Cable;mouse,negative;negative,NIL,NIL
1934,1916,  However I dealt with this problem for over a year and it was more of a hastle then I have EVER had with anything.,NIL,NIL,NIL,NIL
1935,1919,"I got the first ""Blue screen of death"" in the early part of July.",NIL,NIL,NIL,NIL
1936,1047,"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.",RAM slots;HDD Bays;16GB RAM support;Wireless,neutral;neutral;neutral;positive,NIL,NIL
1937,762,I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION.,ASUS TECH SUPPORT,negative,horrible,-1
1938,113,"In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display.",screen;screen;display,negative;negative;negative,NIL,NIL
1939,2533,It seems to be incompatible with everything else.,NIL,NIL,incompatible,-1
1940,2836,"the mouse on the pad, the left button always sticks.",mouse on the pad;left button,neutral;negative,sticks,-1
1941,962,  When I took it back to Best Buy I asked them if they were seriously trying to drive me insane!,NIL,NIL,insane,-1
1942,1459,i have tried to charge on different batteries with no luck.,batteries,negative,NIL,NIL
1943,2188,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",battery life,positive,recommend;perfect;amazing,+1;+1;+1
1944,2274,"We use the built in tools often, iTunes is open nearly every day and works great with my iPhone.",built in tools;iTunes,neutral;positive,great,+1
1945,1343,But my blog is read by my friends and search engine visitors.,NIL,NIL,NIL,NIL
1946,1002,It was returned on the third day I owned it.,NIL,NIL,NIL,NIL
1947,1699,"IT WANT TAKE IT, IT KEEP SAYING ERROR.",NIL,NIL,NIL,NIL
1948,1941,"Anyone who is considering buying an Acer computer of any sort, I seriously suggest you look into buying a different brand.",NIL,NIL,NIL,NIL
1949,2303,the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.,size,positive,able,+1
1950,2910,Highly recommend for daily use.,NIL,NIL,recommend,+1
1951,77,We are addicted to the Mac.,NIL,NIL,addicted,+1
1952,1314,Because it IS a defective product.,NIL,NIL,defective,-1
1953,2499,"Second, it gets scratches easily and when it gets old some thing may operated",NIL,NIL,NIL,NIL
1954,2868,True quality at a great price!,quality;price,positive;positive,true;great,+1;+1
1955,169,Not easy to carry.,carry,negative,easy,+1
1956,2409,The programs that come standard with the Leopard running system are enough for the average person to run all the basics.,programs;Leopard running system,positive;neutral,standard;enough,+1;+1
1957,1119,I am really heartbroken to have to post a terrible review.,NIL,NIL,terrible,-1
1958,1322,"So what am I supposed to do?  The LG service center cannot provide me the ""service"" when it is called the ""service center"".",LG service center;service center;service,negative;negative;negative,NIL,NIL
1959,1740,The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.,Material;Specs;performs,positive;negative;positive,nicer;better,+1;+1
1960,2014,It has been nothing but trouble from the time we bought it.,NIL,NIL,NIL,NIL
1961,2239,"After doing extensive research, macconnection had the lowest price on the 15"" MBP i5.",price,positive,lowest,+1
1962,367,I am ADDICTED to photo booth!,photo booth,positive,addicted,+1
1963,335,"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.",operating system;user interface;multi-touch track pad,positive;positive;positive,intuitive;large;amazing,+1;+1;+1
1964,1328,"So, I went back.",NIL,NIL,NIL,NIL
1965,2652,"I like it so much, I bought another just for my wife.",NIL,NIL,like,+1
1966,1384,I took it back to the store and exchanged it for another one.,NIL,NIL,NIL,NIL
1967,2831,All in all great item highly recommend it.,NIL,NIL,great;recommend,+1;+1
1968,3042,Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.,Hard disk;hard disk space;internal hard disk,neutral;positive;neutral,more,+1
1969,2263,This laptop rocks (only wish it could run SolidWorks CAD - which Apple doesn't support)!,NIL,NIL,NIL,NIL
1970,1481,It is extremely portable and easily connects to WIFI at the library and elsewhere.,connects to WIFI,positive,portable;easily,+1;+1
1971,2769,"I don't have that additional money right now, and therefore wouldn't have purchased it at this time.",NIL,NIL,NIL,NIL
1972,2491,"First things first, Macbook pro has many applications to make life easier, unlike the windows computers.",applications;windows,positive;negative,many;easier,+1;+1
1973,1648,And the screen on this thing is absolutely amazing for high quality videos and movies and gaming.,screen;gaming,positive;positive,amazing;high,+1;+1
1974,236,"Fast, fast and fast, the web pages just fly by.",NIL,NIL,fast,+1
1975,1869,"I considered I may have too much on the computer, but after looking, there was plenty of space and that is not the issue.",space,positive,plenty;issue,+1;-1
1976,2763,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,battery life,conflict,long;perfect,+1;+1
1977,1264,Guess I'll stay away from HP.,NIL,NIL,NIL,NIL
1978,2882,"It is made better, thicker, and all out tough!",NIL,NIL,better;thicker,+1;-1
1979,955,"It was about six months later when the overheating problem started again, to the point it felt like fire on the bottom of the machine!",NIL,NIL,problem,-1
1980,750,There is a blank lighted screen when I start and that is all.,NIL,NIL,NIL,NIL
1981,1653,And i would recommend this to anypne looking for a new laptop.,NIL,NIL,recommend,+1
1982,1466,"But then, something goes wrong.",NIL,NIL,wrong,-1
1983,2810,So far so good with this laptop.,NIL,NIL,good,+1
1984,1457,i must keep it plugged in at all times because it will not keep a charge for longer than four minutes.,charge,negative,longer,+1
1985,1165,Avoid this model.,NIL,NIL,NIL,NIL
1986,763,"Summary: I've had this laptop for 2 months, out of the blue the power adapter stops working.",power adapter,negative,stops working,-1
1987,1977,"I saw walmart had the same computer for about $650 but still knowing what I know now,I would not buy it at that price.",price,negative,NIL,NIL
1988,1945,The local computer repair shops send out ads that say along the lines of we can fix almost any problem or computer  usually even the trouble some Toshiba satellite.,NIL,NIL,NIL,NIL
1989,939,it has had some problems.,NIL,NIL,problems,-1
1990,1243,"Theres always something wrong with it, wether it be some virus you can't track down, or it overheats, sometimes even catches on fire, you just can't use it.",NIL,NIL,wrong,-1
1991,1387,This computer is good for 10 days then it sucks for the rest of your life.,NIL,NIL,good;sucks,+1;-1
1992,2156,"Of course, for a student, weight is always an issue.",weight,neutral,issue,-1
1993,626,"Now mainboard is broken, have to wait for a new one.",mainboard,negative,broken,-1
1994,3056,"The speed difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.",speed;hard drive;500gb external hard drive,negative;neutral;neutral,upgraded,+1
1995,1879,2.The wireless card is low quality.,wireless card,negative,low,-1
1996,1806,This little netboook is helping me get work done!,NIL,NIL,NIL,NIL
1997,2121,They also use two totally different operating systems.,operating systems,neutral,NIL,NIL
1998,2420,They are about the same size keys.,keys,neutral,NIL,NIL
1999,887,I'm definitely not hard on laptops and guarantee 100% that no liquid has touched this machine in my presence.,NIL,NIL,NIL,NIL
2000,2039,"I waited another month for approval and for them to ""BUILD"" me a new laptop.",NIL,NIL,NIL,NIL
2001,3032,This ain't it.,NIL,NIL,NIL,NIL
2002,2107,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,portability,conflict,hard;pleasant surprise,-1;+1
2003,907,"The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory.",accessories,negative,frustrating;cheaply made;less than satisfactory,-1;-1;-1
2004,160,"They offer the best warranty in the business, and don't 3rd party it out like Toshiba.",warranty,positive,best,+1
2005,254,Maybe three or four months ago it started blinking all of the sudden.,NIL,NIL,NIL,NIL
2006,2926,The only problems are the sound isnt very loud I have to wear headphones.,sound,negative,n't very loud,-1
2007,1632,Again- windows based machines were not giving me anything to work with!,windows,negative,NIL,NIL
2008,710,"Finally, I couldn't take it anymore and ordered my Apple.",NIL,NIL,NIL,NIL
2009,1271,"I should have kept my big, old HP.",NIL,NIL,NIL,NIL
2010,2142,"everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.",system,neutral,wonderful;learn fast;worth,+1;+1;+1
2011,348,i love the size of the computer since i play games on it.,size;games,positive;neutral,love,+1
2012,703,"I am a wife, mom and a school teacher and a college student.",NIL,NIL,NIL,NIL
2013,1377,"You know, using the computer should be fun, not aggrevation, especially when you are playing games or working with photos.",playing games,neutral,aggrevation,-1
2014,2562,You just get a trial version either way.,NIL,NIL,NIL,NIL
2015,992,I'm all for saving money but Dell needs to step it up.,NIL,NIL,NIL,NIL
2016,2167,There are no viruses or spyware to worry about like on a Windows computer.,Windows,negative,worry about,-1
2017,2635,great machine if you want to drop the cash for one.,NIL,NIL,great,+1
2018,2932,To be honest i think it was faulty equipment or something but idk.,equipment,negative,faulty,-1
2019,2904,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",size,positive,love;small;convenient,+1;+1;+1
2020,850,I never have had a good result with this computer.,NIL,NIL,never have had a good result,-1
2021,440,"I love its solid build, light wt and excellent battery life (for now).",build;wt;battery life,positive;positive;positive,love;solid;light;excellent,+1;+1;+1;+1
2022,1882,YOU PAY FOR WHAT YOU GET FOR.,NIL,NIL,NIL,NIL
2023,2671,"while about 8 years ago, I hope that the quality has changed.",quality,negative,NIL,NIL
2024,1031,NO more Lenovo for me.,NIL,NIL,NIL,NIL
2025,414,"I also bought one for my wife, and 3 for my office.",NIL,NIL,NIL,NIL
2026,1286,"However, a NETBOOK will be a different story.",NIL,NIL,NIL,NIL
2027,2092,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",NIL,NIL,glad;worth,+1;+1
2028,1812,"The difference is it's a whole lot of fun using the laptop now, still learning the Apple navigation, but is fun and comes with a lot of cool apps.",Apple navigation;apps,neutral;positive,a whole lot of fun;fun;a lot of;cool,+1;+1;+1;+1
2029,2599,I am a full Mac convert now.,NIL,NIL,NIL,NIL
2030,573,I highly recommend that you buy this product.,NIL,NIL,highly recommend,+1
2031,1198,"Though you get a polite person, you often don t get a solution.",NIL,NIL,NIL,NIL
2032,639,-I propose that I can just swap the hard drives.,hard drives,neutral,NIL,NIL
2033,1272,It was old but it was not till we bought the Dell did we realize how great it was.,NIL,NIL,old;great,-1;+1
2034,2311,"The battery holds up well, it's built very solidly, and runs fast.",battery;built;runs,positive;positive;positive,holds up well;solidly;fast,+1;+1;+1
2035,2725,Sound card is limited though.,Sound card,negative,limited,-1
2036,1147,"I initially purchased my Macbook Pro 13"" in April, and I loved it.",NIL,NIL,loved,+1
2037,671,This is a nicely sized laptop with lots of processing power and long battery life.,processing power;battery life;sized,positive;positive;positive,nicely;lots of;long,+1;+1;+1
2038,725,After much battling with HP i was able to return it 4 times for repairs.,NIL,NIL,NIL,NIL
2039,175,"So, you can imagine how unhappy I am with this item.",NIL,NIL,unhappy,-1
2040,2580,"But let me tell you, the mac book pro is so professional.",NIL,NIL,professional,+1
2041,831,The only thing I can imagine is that Sony jumped on early specifications for Vista requirements from Microsoft and designed it to those inadequate requirements.,Vista,negative,NIL,NIL
2042,1816,go for it!,NIL,NIL,NIL,NIL
2043,2269,I highly recommend this computer for students looking for a solid machine to get them through college.,NIL,NIL,highly recommend;solid,+1;+1
2044,111,"The keyboard, which generally felt okay even for someone used to a desktop keyboard, now looks terrible.",keyboard;desktop keyboard,conflict;neutral,okay;terrible,+1;-1
2045,1564,The display is awesome.,display,positive,awesome,+1
2046,1166,"After years of occasionally pulling my hair out fighting computer viruses, a good friend convinced me it was time to go the Apple route.",NIL,NIL,NIL,NIL
2047,6,The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.,mouse,conflict,different,-1
2048,98,It took several weeks just to get them to acknowledge that I owned the warranty.,warranty,negative,NIL,NIL
2049,656,"However, this laptop has a fatal flaw that i discovered merely a week after buying it.",NIL,NIL,fatal flaw,-1
2050,2396,Perfect trifecta!,NIL,NIL,perfect,+1
2051,2584,The keyboard is like no other laptop keyboard.,keyboard;keyboard,neutral;neutral,NIL,NIL
2052,492,It was a huge monstrosity of a Laptop!,NIL,NIL,NIL,NIL
2053,613,-Computer crashed frequently and battery life decreased very quickly.,battery life,negative,crashed frequently;decreased very quickly,-1;-1
2054,637,-I propose that they can just swap the hard drives.,hard drives,neutral,NIL,NIL
2055,663,So don't get it.,NIL,NIL,NIL,NIL
2056,2163,it was a tough choice.,NIL,NIL,NIL,NIL
2057,1061,Every driver on the drivers/applications DVD is everything you will need for a reload.,driver;drivers/applications DVD,positive;positive,NIL,NIL
2058,943,  They sent it off and within 2 weeks I had it back good as new.,NIL,NIL,good as new,+1
2059,1662,The Awesomest of the awesomest.,NIL,NIL,awesomest,+1
2060,2179,"One, owning a mac is essentially a full production studio (in the case of a mac book a portable version).",NIL,NIL,NIL,NIL
2061,574,I would like to tell you about the best laptop I just got from Mac.,NIL,NIL,best,+1
2062,2309,"I'm glad it waited, this one is great.",NIL,NIL,glad;great,+1;+1
2063,1226,I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.,repair depot;repair depot,neutral;neutral,NIL,NIL
